Experiment,Year,Location,Range,Row,Plot,Rep,Nitrogen,Weed_Pressure,Pedigree,Hybrid,Stand_Count,Planting_Date,Harvest_Date,FDT,RTA,PHT,EHT,SDL,SDS,YIELD,PROT,OIL,STA
OREI_Replicated_Exp,2018,Pana,1,5,12110,1,N2,WPLUS,17.461,ORG1,29,5/25/2018,10/15/2018,1.923333333,61.58166667,277,164,23.372,21.04,181.4517445,10.4,5.2,67.8
OREI_Replicated_Exp,2018,Pana,1,9,12103,1,N2,WPLUS,PHHB9*PHW30,UIUC3,0,5/25/2018,10/15/2018,.,.,.,.,.,.,.,8.4,3.3,72.3
OREI_Replicated_Exp,2018,Pana,1,13,12106,1,N2,WPLUS,PHP38*Q381,UIUC6,13,5/25/2018,10/15/2018,1.853333333,86.1675,230,100,25.142,21.558,87.71548832,10.2,3.7,70.3
OREI_Replicated_Exp,2018,Pana,1,17,12101,1,N2,WPLUS,PHHB9*PHM49,UIUC1,1,5/25/2018,10/15/2018,1.823333333,93.47666667,222,82,20.21,18.89,.,.,.,.
OREI_Replicated_Exp,2018,Pana,1,21,12108,1,N2,WPLUS,PHW52*Q381,UIUC8,1,5/25/2018,10/15/2018,1.875,83.41375,.,.,.,.,.,.,.,.
OREI_Replicated_Exp,2018,Pana,1,25,12107,1,N2,WPLUS,PHW52*LH185,UIUC7,16,5/25/2018,10/15/2018,1.866666667,69.84583333,255,110,25.106,22.174,158.7754573,8,3.5,72.1
OREI_Replicated_Exp,2018,Pana,1,29,12105,1,N2,WPLUS,PHHB9*Q381,UIUC5,15,5/25/2018,10/15/2018,1.83,71.55166667,232,98,25.164,22.03,102.4268972,8.7,3.5,71.9
OREI_Replicated_Exp,2018,Pana,3,37,11304,1,N1,WPLUS,PHHB9*PHZ51,UIUC4,28,5/25/2018,10/15/2018,1.84,84.25166667,255,105,23.048,21.7475,181.7013807,8.8,3.8,71.1
OREI_Replicated_Exp,2018,Pana,1,37,12109,1,N2,WPLUS,461.2B24,ORG2,14,5/25/2018,10/15/2018,1.883333333,92.50166667,227,102,20.202,18.976,50.34845496,10.3,3.9,69.5
OREI_Replicated_Exp,2018,Pana,1,41,12102,1,N2,WPLUS,PHHB9*PHR63,UIUC2,1,5/25/2018,10/15/2018,1.805,108.8375,178,55,32.99,29.73,.,.,.,.
OREI_Replicated_Exp,2018,Pana,2,5,11110,1,N2,WMINUS,17.461,ORG1,29,5/25/2018,10/15/2018,1.923333333,78.385,252,142,22.84,21.262,209.4581127,10.8,4.9,67.7
OREI_Replicated_Exp,2018,Pana,2,9,11103,1,N2,WMINUS,PHHB9*PHW30,UIUC3,30,5/25/2018,10/15/2018,1.843333333,82.82666667,292,130,26.786,24.084,189.9326471,9.3,3.4,71.3
OREI_Replicated_Exp,2018,Pana,2,13,11106,1,N2,WMINUS,PHP38*Q381,UIUC6,25,5/25/2018,10/15/2018,1.86,78.8725,244,120,26.164,22.978,167.7929095,10,3.9,70.1
OREI_Replicated_Exp,2018,Pana,2,17,11101,1,N2,WMINUS,PHHB9*PHM49,UIUC1,3,5/25/2018,10/15/2018,1.81,86.225,203,87,33.205,30.555,71.63243996,10.9,3.4,70.1
OREI_Replicated_Exp,2018,Pana,2,21,11108,1,N2,WMINUS,PHW52*Q381,UIUC8,8,5/25/2018,10/15/2018,1.826666667,133.1416667,202,75,30.775,28.23,49.64497041,10.2,3.8,70.2
OREI_Replicated_Exp,2018,Pana,2,25,11107,1,N2,WMINUS,PHW52*LH185,UIUC7,14,5/25/2018,10/15/2018,1.876666667,86.94166667,240,110,26.626,24.32,178.417869,8.8,3.6,71.4
OREI_Replicated_Exp,2018,Pana,2,29,11105,1,N2,WMINUS,PHHB9*Q381,UIUC5,22,5/25/2018,10/15/2018,1.883333333,81.79666667,240,105,22.85,21.074,120.9850216,8.3,3.4,72.2
OREI_Replicated_Exp,2018,Pana,4,37,12304,1,N1,WMINUS,PHHB9*PHZ51,UIUC4,22,5/25/2018,10/15/2018,1.846666667,95.74666667,245,95,23.028,21.568,163.4463751,7.9,3.7,71.9
OREI_Replicated_Exp,2018,Pana,2,37,11109,1,N2,WMINUS,461.2B24,ORG2,16,5/25/2018,10/15/2018,1.833333333,63.17166667,246,130,23.21,21.212,119.2206975,11.1,4.5,68.2
OREI_Replicated_Exp,2018,Pana,2,41,11102,1,N2,WMINUS,PHHB9*PHR63,UIUC2,27,5/25/2018,10/15/2018,1.816666667,78.9,212,87,26.116,24.052,82.36379272,9.5,3.6,70.9
OREI_Replicated_Exp,2018,Pana,3,5,11308,1,N1,WPLUS,PHW52*Q381,UIUC8,9,5/25/2018,10/15/2018,1.88,71.5675,198,85,23.388,21.702,65.86156229,9.9,3.8,70.2
OREI_Replicated_Exp,2018,Pana,3,9,11307,1,N1,WPLUS,PHW52*LH185,UIUC7,27,5/25/2018,10/15/2018,1.87,95.3,246,105,23.404,21.148,198.5825572,7.4,3.6,72.4
OREI_Replicated_Exp,2018,Pana,3,13,11306,1,N1,WPLUS,PHP38*Q381,UIUC6,28,5/25/2018,10/15/2018,1.92,101.5358333,255,115,24.67,22.082,168.2267985,9.7,3.9,70.5
OREI_Replicated_Exp,2018,Pana,3,17,11303,1,N1,WPLUS,PHHB9*PHW30,UIUC3,22,5/25/2018,10/15/2018,1.86,74.52833333,276,130,26.696,23.76,191.4586873,9.4,3.6,71
OREI_Replicated_Exp,2018,Pana,3,21,11302,1,N1,WPLUS,PHHB9*PHR63,UIUC2,14,5/25/2018,10/15/2018,1.816666667,113.0608333,230,115,28.022,25.228,78.27586207,8.7,3.3,71.8
OREI_Replicated_Exp,2018,Pana,3,25,11301,1,N1,WPLUS,PHHB9*PHM49,UIUC1,13,5/25/2018,10/15/2018,1.88,78.6675,255,145,29.22,27.322,95.32248997,8.8,3.4,71.6
OREI_Replicated_Exp,2018,Pana,3,29,11310,1,N1,WPLUS,17.461,ORG1,28,5/25/2018,10/15/2018,1.933333333,77.47333333,257,130,22.136,19.974,162.4667818,9.8,4.3,69.2
OREI_Replicated_Exp,2018,Pana,3,33,11305,1,N1,WPLUS,PHHB9*Q381,UIUC5,14,5/25/2018,10/15/2018,1.866666667,67.67583333,225,90,24.882,22.546,122.3952744,8.8,3.4,71.7
