"","FAR","FC","HYB","YEAR","REP","FS","CC","WRT","Density","Rotation","CD","CEC","pH","OM","EstNRel","Su","P","Ca","Mg","K","Na","SOC","TN","SoilCN","InorgN","Bray1P","POMC","POMN","POMCN","PMN","POXC","Sand","Silt","Clay","Prcp","Tmax","Tmin","Temp","TGDD","YIELD","YD","MeanYD","SDYD","Zscore","R","Re"
"1","Ambriole","AA","ORG1",2018,1,"Mix","Mixed","Moderate","Low","Extensive","High",14.8,5.9,3.49,85,14,66,1729,242,217,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,135,-7.69999999999999,-17.2588235294118,24.9493752132075,-0.69175373659359,0.244545997155976,"Low"
"2","Ambriole","AA","ORG4",2018,1,"Mix","Mixed","Moderate","Low","Extensive","High",14.8,5.9,3.49,85,14,66,1729,242,217,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,142.7,0,0,0,NA,NA,NA
"3","Ambriole","AA","ORG2",2018,1,"Mix","Mixed","Moderate","Low","Extensive","High",14.93,6.5,3.86,89,12,34,2065,280,125,23,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,96.5,-46.2,-29.1705882352941,27.1802493712319,-1.0732273952633,0.141584550971757,"Low"
"4","Ambriole","AA","CHECK1",2018,1,"Mix","Mixed","Moderate","Low","Extensive","High",14.93,6.5,3.86,89,12,34,2065,280,125,23,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,141.2,-1.5,25.04375,39.183448355141,0.639141041722893,0.738634408658242,"High"
"5","Ambriole","AA","KEV1",2018,1,"Mix","Mixed","Moderate","Low","Extensive","High",11.9,6.3,3.11,81,13,40,1519,226,188,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,167.2,24.5,-6.88333333333334,38.6758048240483,-0.177975180210169,0.429371233929014,"Low"
"6","Ambriole","AA","KEV2",2018,1,"Mix","Mixed","Moderate","Low","Extensive","High",11.9,6.3,3.11,81,13,40,1519,226,188,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,123.7,-19,-18.125,25.4860077475679,-0.711174546422621,0.238488039783144,"Low"
"7","Ambriole","AA","ORG5",2018,1,"Mix","Mixed","Moderate","Low","Extensive","High",13.84,6.1,3.56,86,13,58,1715,254,189,18,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,127.9,-14.8,-22.1666666666667,25.9704144025933,-0.853535346915882,0.196681247315951,"Low"
"8","Ambriole","AA","KEV3",2018,1,"Mix","Mixed","Moderate","Low","Extensive","High",13.84,6.1,3.56,86,13,58,1715,254,189,18,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,130.8,-11.9,-4.10833333333333,22.342436521046,-0.183880273284581,0.427053690282393,"Low"
"9","Ambriole","AA","ORG1",2018,2,"Mix","Mixed","Moderate","Low","Extensive","High",14.18,5.9,3.37,84,15,62,1621,256,199,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,136.5,-6,-17.2588235294118,24.9493752132075,-0.69175373659359,0.244545997155976,"Low"
"10","Ambriole","AA","ORG4",2018,2,"Mix","Mixed","Moderate","Low","Extensive","High",14.18,5.9,3.37,84,15,62,1621,256,199,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,142.5,0,0,0,NA,NA,NA
